id,url,label,responseCode,text
971646,https://www.alaskansunset.com,6,200,alaskan sunset cabin cabin book cabin polici tab navig menu item alaskan sunset cabin locat kasilof alaska kenai cabin sit bluff overlook cook inlet west provid stun view alaska rang sunset view kenai finest alaska lodg kenai peninsula each cabin rental maintain goal provid excel lodg servic view unmatch properti 
573622,https://www.realbusinessrescue.co.uk,0,200,real rescu licens insolv practition insolv solut face creditor pressur advic requir director close compani compani insolv compani insolv unabl pai debt dissolv compani strike advic strike compani dissolv compani hous licens insolv practition licens insolv practition outlin option liquid creditor voluntari liquid voluntari liquid process insolv compani voluntari liquid 
977700,https://sentinelpeakrv.com,6,200,sentinel peak downtown rv park tucson facil attract photo galleri rate park direct select sentinel peak rv park welcom downtown tucson arizona rv park hook site book rig friendli tucson arizona rv park love sentinel peak rv park downtown rv park tucson arizona relax pool read book rv awn visit 
787,http://www.chesspals.com/,3,200,worcest chess club meet thursdai worcest hibernian cultur centr templ street worcest chess chess club worcest chess club worcest chess tournament tournament chess chess massachusett scholast chess studi chess studi chess tournament donna presid phone alonzo ross tournament director phone rawl rutter tournament director phone club locat templ worcest mail 
967740,https://www.marengo.k12.al.us,1,200,login navig menu marengo school district directori calendar school board superintend school board central offic depart financ employe servic invit bid feder program career technic educ gear alabama child nutrit curriculum instruct alabama literaci alabama numeraci district bid propos human resourc personnel polici special program report superintend technolog virtual realiti 
981441,https://dgcattorneys.com,0,200,california worker compens defens firm dietz worker compens attornei att central mail milliken av suit box rancho servic firm servic attornei san diego corpor offic ontario inland empir lo angel san francisco bai beach sacramento santa monica orang counti fresno central california covid resourc express referr firm servic attornei san 
584070,https://www.portage.org.uk,1,200,nation portag associ portag hub portag midland north south train develop train opportun portag workshop npa train trainer continu profession develop award npa core compet portag curriculum modul upcom cours event event train calendar npa stamp approv scheme servic registr npa trainer npa accredit trainer studi studi portag parent studi 
577272,https://www.reddie.co.uk,0,200,intellectu properti law intellectu properti law grose firm respons career peopl capabl servic patent trade mark unifi patent court design plant varieti start sector advanc engin biotechnolog pharmaceut brand design chemistri materi energi comput softwar consum product manufactur electron electr devic financi servic method medic devic digit healthcar telecommun broadcast 
450208,https://www.newhorizon.org,0,200,loan equip leas startup leas sale leaseback factor merchant cash advanc capit purchas loan sba loan consum loan credit card bad credit card credit card secur credit card soft inquiri credit card catalog credit card student credit card credit rebuild credit card loan auto loan person loan debt consolid credit 
968868,https://watervilleusa.com,6,200,park watervil usa amus park gulf shore park attract attract amus park attract plan visit ticket park hour date park edward acr pure fun watervil usa offer acr fun amus park escap locat mile beach heart beauti resort commun gulf shore alabama invest improv attract park memori watervil usa commit 
582680,https://www.modelenthusiasts.com,5,200,steam engin guru cart sign regist send eu countri menu expert spare drive band rivet fuel brass tube fuel drive band rivet cart checkout requir properli enabl browser categori expert spare drive band rivet fuel brass tube spare here spare help hand imagin have season engin speed dial readi troubleshoot 
462504,https://www.bridgebum.com,3,200,bridg bid convent plai bid convent convent categori bid principl bid system declar plai defens articl player refer famou bridg player histori bridg rule plai ethic etiquett link bridg convent updat deng deng renown chines leader steer china era reform modern polit mastermind devot bridg player principl restrict choic principl 
574830,https://www.uk-wheelchairs.co.uk,4,200,wheelchair qualiti wheelchair price disabl browser enabl browser util function account basket checkout log hour mon fri sat sun basket item shop basket wheelchair qualiti deliveri wheelchair electr propel transit model price match promis propel transit wheelchair transport heavi duti electr wheelchair walk aid reclin accessori commit offer class servic 
923360,https://www.coasthotels.com,6,200,coast hotel uniqu network hotel canada usa gift card gift card benefit sign menu dashboard profil transact reserv offer redeem sign stai deal plan meet meet promot coast event assur coast reward meet planner request space stori meet franchis opportun pet friendli refreshingli green coast clean coast reward membership overview 
984382,https://aspirepublicschools.org,1,200,aspir public school aspir public school school focus improv public educ prepar student colleg train highli effect teacher share innov practic aspir public school aspir logo aspir public school school focus improv public educ prepar student colleg train highli effect teacher share innov practic scholar famili resourc discov aspir locat 
