URL,label,predictedlabel,totalTime,getTime,cleanTime,tfidfCalcTime,classifyTime,predictedlabel,0,1,2,3,4,5,6,tokensAmount
https://www.sdale.org,1,1,1793,1030,654,99,9,1,0.0138,0.932,0.00378,0.00908,0.018,0.00984,0.0139,144
https://www.premierschools.com,1,1,1109,853,147,97,10,1,0.159,0.602,0.0155,0.0442,0.0815,0.0488,0.0485,200
https://www.suitslaw.com,0,0,1504,397,981,116,8,0,0.494,0.132,0.0168,0.0804,0.117,0.0599,0.1,199
https://www.westburyhockey.com,5,5,1478,459,887,119,11,5,0.035,0.089,0.0144,0.239,0.0376,0.543,0.0424,200
https://www.statefundca.com,0,0,809,511,175,110,12,0,0.68,0.0628,0.0107,0.0423,0.141,0.0317,0.0319,200
https://www.bgames.com,3,3,682,302,241,130,7,3,0.0293,0.0338,0.0104,0.821,0.0232,0.0393,0.0433,200
https://www.gambling.net,3,3,520,124,258,124,13,3,0.0774,0.0509,0.015,0.682,0.054,0.0617,0.0587,200
https://www.badminton.ca,5,5,1095,867,94,122,11,5,0.141,0.174,0.0196,0.0756,0.0735,0.444,0.0723,200
https://unitedsoccercoaches.org,5,1,3446,2803,502,128,11,1,0.085,0.511,0.0149,0.0623,0.0797,0.204,0.0429,200
https://kizi.com,3,3,1132,804,180,136,10,3,0.00623,0.00806,0.00356,0.947,0.00508,0.0179,0.0119,200
https://allwebgames.com,3,99,116,116,0,0,0,99,0,0,0,0,0,0,0,0
https://www.sexstories.com,2,2,625,342,129,145,8,2,0.0952,0.0968,0.327,0.179,0.131,0.0905,0.0807,200
https://xhaccess.com,2,2,1065,715,185,152,12,2,0.0245,0.0271,0.838,0.0301,0.0247,0.027,0.0284,200
https://www.dhmi.co.uk,5,3,1698,441,1170,77,8,3,0.185,0.145,0.0236,0.235,0.0986,0.23,0.0826,41
https://atomico.com,0,0,521,211,111,187,10,0,0.444,0.133,0.0201,0.0817,0.171,0.0656,0.0844,200
https://www.cornishcottages.co.uk,6,6,712,500,82,118,11,6,0.02,0.0175,0.00514,0.0164,0.016,0.0145,0.91,161
https://www.rhythmtime.net,1,1,430,169,121,126,12,1,0.112,0.366,0.0205,0.181,0.111,0.095,0.114,171
http://www.geohost.net/adm/zulu/,2,3,419,301,4,101,12,3,0.216,0.105,0.0599,0.22,0.151,0.129,0.119,86
https://www.rubicondev.com,3,3,781,620,39,111,9,3,0.0509,0.0444,0.0074,0.823,0.0276,0.0249,0.0218,143
https://usamutuals.com/vice-fund,0,0,2213,1394,534,263,21,0,0.718,0.0753,0.0111,0.0527,0.0467,0.0506,0.0455,200
https://kansascitycreditunion.com,0,99,5010,5010,0,0,0,99,0,0,0,0,0,0,0,0
https://www.piedmont.k12.al.us,1,1,3229,2350,516,346,17,1,0.0308,0.902,0.00465,0.0134,0.0238,0.0134,0.0123,200
https://www.penna.com,0,0,852,314,90,427,19,0,0.419,0.173,0.0202,0.0977,0.131,0.075,0.084,196
https://voss.co.uk,1,1,2102,1270,452,359,19,1,0.0593,0.828,0.00664,0.017,0.0335,0.0257,0.0297,200
http://www.customerchampions.co.uk,0,99,153,153,0,0,0,99,0,0,0,0,0,0,0,0
https://breakawayadventures.com,6,6,4509,868,3274,344,21,6,0.0125,0.0201,0.00439,0.0159,0.0177,0.018,0.911,200
https://www.executivehotels.net,6,6,1201,556,227,394,23,6,0.0625,0.0442,0.0137,0.065,0.0464,0.0352,0.733,200
