word,df
aa,4
aaa,9
aaf,1
aag,1
aarc,1
aarhu,1
aaron,4
aarp,1
ab,4
aba,2
abandon,3
abat,1
abbei,2
abbevil,1
abbott,1
abbrevi,1
abc,3
abduct,1
abel,1
aberdeen,3
aberdeenshir,1
abigail,1
abil,26
abl,1
abnorm,1
aboard,5
abolit,1
abolitionist,1
abort,2
abound,2
abraham,2
abras,6
abreast,1
abri,1
abseil,1
absenc,6
absente,2
absolut,5
absoluteli,13
absorb,5
abstract,1
absurd,1
abt,1
abu,2
abund,10
abus,18
abuzz,1
ac,18
academ,50
academi,62
acbl,7
acc,3
acceler,14
acceleromet,1
accent,2
accentu,1
accept,65
access,256
accessori,91
accid,44
accident,1
acclaim,4
accolad,7
accommod,140
accompani,2
accomplish,10
accord,2
account,338
accredit,50
acct,1
accumul,2
accur,18
accuraci,5
accurateli,2
accus,2
ach,7
achiev,100
aci,1
acid,2
ackerman,1
acknowledg,6
acl,3
acm,1
acn,5
acol,1
acorn,3
acquaint,1
acquir,9
acquisit,17
acr,30
acrobat,10
acronym,2
acryl,4
act,7
acti,1
action,72
activ,240
activeli,3
actor,7
actress,1
actual,3
actuari,2
acu,1
acuerdo,1
acuiti,1
acumen,2
acupunctur,8
acupuncturist,1
acut,4
ad,26
ada,10
adam,6
adamsvil,1
adapt,20
add,61
addam,2
addict,10
addison,1
addit,68
addition,3
address,80
adelaid,7
adelphia,1
adequ,1
adequateli,2
adher,1
adhes,4
adi,3
adib,1
adipos,1
adirondack,1
adjac,4
adjoin,2
adjust,20
adler,1
admin,36
administ,2
administr,72
admir,4
admiss,26
admit,3
admittedli,1
adob,9
adolesc,10
adolphu,1
adopt,9
ador,1
adorn,1
adp,2
adren,1
adrenalin,3
adrian,2
adriana,4
adt,1
adult,101
advanc,126
advantag,30
advent,1
adventur,175
advers,3
adverseli,1
advert,1
advertis,55
advic,172
advis,52
advisor,50
advisori,33
advoc,30
advocaci,40
ae,2
aea,3
aec,2
aegi,2
aer,1
aerial,3
aero,1
