URL,label,predictedlabel,totalTime,getTime,cleanTime,tfidfCalcTime,classifyTime,predictedlabel,0,1,2,3,4,5,6,tokensAmount
https://www.sdale.org,1,1,1900,1166,621,104,8,1,-0.00674,0.0589,-0.0182,-0.0145,-0.0023,-0.00832,-0.00871,144
https://www.premierschools.com,1,1,1090,826,148,101,12,1,0.00913,0.031,-0.0137,-0.00837,-0.00223,-0.00586,-0.00995,200
https://www.suitslaw.com,0,0,1509,401,975,119,11,0,0.0189,0.00419,-0.0156,-0.00203,0.00186,-0.00565,-0.00167,199
https://www.westburyhockey.com,5,5,1551,510,906,121,13,5,-0.0105,0.0015,-0.0163,0.0205,-0.00795,0.0214,-0.00869,200
https://www.statefundca.com,0,0,779,491,166,111,10,0,0.0323,-0.00181,-0.0167,-0.0074,0.0145,-0.0087,-0.0122,200
https://www.bgames.com,3,3,667,280,244,131,11,3,-0.00862,-0.00439,-0.0135,0.0439,-0.0125,-0.00176,-0.00313,200
https://www.gambling.net,3,3,500,110,254,126,10,3,-0.00295,-0.00726,-0.0142,0.038,-0.00809,-0.000346,-0.00515,200
https://www.badminton.ca,5,5,948,709,102,122,14,5,0.00327,0.00479,-0.0143,-0.00337,-0.00414,0.0186,-0.0049,200
https://unitedsoccercoaches.org,5,1,3443,2797,504,131,10,1,-0.000303,0.0203,-0.0153,-0.00481,-0.000709,0.0133,-0.0125,200
https://kizi.com,3,3,1121,804,185,123,7,3,-0.0168,-0.00959,-0.0168,0.0692,-0.019,0.000487,-0.00747,200
https://allwebgames.com,3,3,2385,545,1583,240,15,3,-0.0103,-0.00417,-0.0115,0.0377,-0.00924,0.00141,-0.00385,105
https://www.sexstories.com,2,2,952,316,207,407,21,2,-0.00595,-0.00369,0.0185,0.00226,8.09e-05,-0.00216,-0.00903,200
https://xhaccess.com,2,2,1330,616,276,425,12,2,-0.0108,-0.00466,0.0413,-0.00648,-0.00909,-0.00442,-0.00592,200
https://www.dhmi.co.uk,5,5,1993,475,1282,211,24,5,0.0017,0.00395,-0.0108,0.0056,-0.00304,0.00949,-0.00696,41
https://atomico.com,0,0,792,223,112,432,23,0,0.0167,0.00374,-0.012,-0.00395,0.00426,-0.00394,-0.0047,200
https://www.cornishcottages.co.uk,6,6,923,522,95,282,23,6,-0.00763,-0.00703,-0.0165,-0.00883,-0.00824,-0.00555,0.0537,161
https://www.rhythmtime.net,1,1,696,187,144,344,19,1,-0.00222,0.0115,-0.0145,0.00336,-0.00051,0.00346,-0.00101,171
http://www.geohost.net/adm/zulu/,2,3,625,313,10,276,24,3,0.00195,-0.00327,0.000294,0.00443,-0.000809,0.00135,-0.00394,86
https://www.rubicondev.com,3,3,1043,632,45,348,16,3,-0.00158,-0.00195,-0.0166,0.0469,-0.00885,-0.00592,-0.012,143
https://usamutuals.com/vice-fund,0,0,2248,1382,528,317,19,0,0.0314,7.12e-05,-0.0142,-0.00523,-0.00584,-0.00187,-0.00435,200
https://kansascitycreditunion.com,0,99,5010,5010,0,0,0,99,0,0,0,0,0,0,0,0
https://www.piedmont.k12.al.us,1,1,3051,2160,539,334,16,1,0.00171,0.0549,-0.0195,-0.013,-0.00198,-0.0079,-0.0143,200
https://www.penna.com,0,0,1910,1357,94,434,23,0,0.0164,0.0041,-0.0121,-0.00237,0.00141,-0.0021,-0.00531,196
https://voss.co.uk,1,1,2230,1414,462,334,19,1,0.00765,0.0388,-0.0192,-0.0124,-0.00305,-0.00196,-0.00988,200
http://www.customerchampions.co.uk,0,99,148,148,0,0,0,99,0,0,0,0,0,0,0,0
https://breakawayadventures.com,6,6,4473,883,3230,337,21,6,-0.0144,-0.0079,-0.0184,-0.00989,-0.0069,-0.00377,0.0613,200
https://www.executivehotels.net,6,6,1101,554,237,295,12,6,-0.00172,-0.00631,-0.0133,-0.00301,-0.00634,-0.00556,0.0363,200
