word,df
aa,3
aaa,3
aaf,1
aag,1
aarc,1
aaron,3
ab,2
aba,2
abandon,2
abbei,1
abbevil,1
abbott,1
abbrevi,1
abel,1
aberdeen,2
aberdeenshir,1
abigail,1
abil,6
abl,1
abnorm,1
aboard,4
abort,2
abraham,1
abras,2
absenc,2
absolut,4
absoluteli,4
absorb,2
abstract,1
abt,1
abu,1
abund,3
abus,7
abuzz,1
ac,10
academ,35
academi,40
acbl,5
acc,3
acceler,6
accent,1
accept,35
access,142
accessori,66
accid,34
accident,1
acclaim,1
accolad,7
accommod,98
accompani,1
accomplish,4
account,261
accredit,32
acct,1
accur,5
accuraci,2
accurateli,1
accus,1
ach,3
achiev,41
aci,1
acid,1
ackerman,1
acknowledg,1
acl,1
acm,1
acn,2
acol,1
acorn,3
acquaint,1
acquir,6
acquisit,9
acr,15
acrobat,10
acryl,2
act,3
acti,1
action,33
activ,141
activeli,3
actor,2
actuari,2
acu,1
acuerdo,1
acuiti,1
acumen,2
acupunctur,7
acut,3
ad,11
ada,6
adam,3
adamsvil,1
adapt,8
add,30
addict,6
addit,20
addition,1
address,45
adelaid,6
adequateli,1
adhes,3
adi,3
adipos,1
adjac,3
adjoin,2
adjust,14
adler,1
admin,19
administr,37
admir,2
admiss,20
admit,1
adob,4
adolesc,7
adopt,5
adren,1
adrenalin,2
adrian,1
adriana,1
adult,60
advanc,64
advantag,12
advent,1
adventur,108
advers,1
advertis,30
advic,109
advis,35
advisor,40
advisori,23
advoc,14
advocaci,24
ae,1
aea,3
aec,1
aegi,1
aer,1
aerial,2
aero,1
aerob,1
aerosol,1
aerospac,8
aesthet,4
afc,2
affabl,1
affair,9
affect,2
affectionateli,1
affili,29
affin,3
affirm,4
afford,20
afghanistan,1
afield,1
afraid,1
africa,11
african,4
afro,1
aft,1
after,1
aftercar,4
aftermarket,1
afternoon,6
afterschool,2
ag,48
agamemnon,1
agav,1
agen,1
agenc,33
agenda,8
agent,19
aggi,1
aggrav,2
aggreg,1
aggress,1
aggressiveli,1
agil,5
agl,1
agm,6
agn,1
agre,14
agreement,9
agribusi,1
agricultur,7
agua,1
agust,1
aha,1
ahm,1
ahmedabad,1
aht,1
ai,16
aic,1
aid,41
aim,24
ain,1
ainsworth,1
aion,1
air,25
airboat,1
aircraft,4
airfar,1
airfield,1
airlin,1
airpark,1
airplan,2
airport,11
airstream,1
airwai,4
aj,1
ajax,1
ak,38
aka,3
akc,2
akiachak,1
akiak,1
al,1
ala,2
alabama,37
alabast,2
alamo,1
alan,2
alarm,7
alaska,160
alaskan,42
alberta,1
albion,1
album,9
alcohol,6
alda,1
aldershot,1
alderson,1
alekhin,1
alert,32
aleutian,3
alex,5
alexand,5
alexi,4
alfa,1
alfonso,1
algorithm,1
ali,3
alic,3
alicevil,1
alien,1
align,25
alik,3
alison,1
aliv,1
allah,1
allegi,1
allegro,1
allei,3
allen,7
allentown,1
allergi,2
allevi,1
allez,1
alli,5
allianc,12
alloc,1
alloi,1
allow,12
allur,2
alma,4
almanac,1
almshous,1
alonso,1
alonzo,1
alopecia,2
alp,1
alpenglow,1
alpha,2
alphabet,1
alpin,1
altern,16
alternativeli,1
altogeth,1
aluminium,1
aluminum,2
alumni,17
alyeska,1
alzheim,2
amadeu,1
amalgam,1
amanda,4
amara,1
amateur,26
amaz,16
amazingli,1
amazon,8
ambassador,4
ambigu,1
ambit,4
ambiti,2
ambler,1
ambros,1
ambulatori,1
amen,83
amend,3
america,19
american,34
americana,1
amethyst,1
amex,1
ami,2
amicu,1
amiga,1
amir,1
amish,1
amiti,1
ammunit,1
amphibi,1
ampl,3
amplifi,4
amput,1
amsterdam,1
amt,1
amus,2
ana,1
anaconda,1
anaesthesia,1
anaesthet,1
anagram,3
anaheim,1
anal,20
analys,4
analysi,27
analyst,2
analyt,9
analyz,8
anan,1
anarchi,1
anatomi,1
ancestor,2
ancestri,1
anchor,6
anchorag,34
ancient,13
ancillari,3
and,1
andalusia,1
anderson,4
andi,3
andov,1
andrea,1
andrew,5
android,6
anesthesia,2
angel,12
angela,5
angelica,1
angl,4
angler,1
anglo,3
ania,1
aniak,1
anil,1
anim,17
anisometropia,1
anissa,1
anita,1
ankl,6
ann,5
anna,1
anneal,2
annett,1
annex,1
anni,3
annihil,2
anniston,1
anniversari,10
annoi,1
annot,2
announc,26
annual,49
annuiti,1
annul,1
anonym,4
answer,15
antelop,5
anthem,1
antholog,1
anthoni,1
anti,11
antibiot,1
antidot,1
antifoul,1
antigua,1
antiqu,4
antitrust,1
antwerp,2
anxieti,11
anxiou,1
anytim,6
anza,1
aol,1
ap,4
apach,2
apart,8
apc,1
apex,2
api,5
apicoectomi,2
apnea,10
apocalypt,1
apolog,1
apologis,1
app,7
apparel,4
appeal,9
appear,9
appel,1
appl,5
applebi,2
appli,61
applianc,7
applic,55
appoint,114
apprais,2
appreci,1
apprentic,5
apprenticeship,12
approach,48
approv,9
approx,1
approxim,1
apt,1
aqua,3
aquarian,1
aquat,2
aquila,1
ar,1
arab,12
arabian,1
arba,1
arbitr,3
arbitrag,1
arc,2
arcad,19
arcadia,3
arch,1
archaeolog,1
archangel,1
archer,3
archeri,10
architect,4
architectur,6
archiv,39
archon,1
arctic,9
arcto,1
arcturu,1
arena,6
argentin,1
argentina,4
argyl,1
ari,1
aria,4
arian,1
aris,1
arithm,1
ariton,1
arizona,147
arkansa,68
arkansan,1
arlington,1
arm,11
armada,1
armi,3
armida,1
armour,3
arnold,1
arp,2
arrai,3
arrang,13
arrear,2
arrest,2
arrhythmia,1
arriv,16
arrow,11
arsen,17
arson,1
art,61
artefact,1
arteri,1
arthriti,1
articl,62
articul,1
artifact,1
artifici,10
artist,5
artwork,4
asa,1
asap,2
asbesto,2
asburi,1
asc,1
ascent,1
ascot,1
ash,5
ashram,1
ashton,2
asia,5
asian,11
asic,1
asm,1
asp,1
aspect,11
asphalt,1
aspir,6
ass,11
assail,1
assassin,1
assault,8
assembl,3
assert,4
assess,51
asset,28
asshol,2
assign,2
assist,47
associ,92
assort,2
assum,2
assur,17
asta,1
aster,1
asteroid,1
asthma,2
aston,1
astronomi,1
astut,1
asylum,2
asymmetri,1
at,2
atalanta,1
athen,1
athena,1
athlet,43
atkinson,1
atla,4
atlant,5
atlanta,2
atm,16
atmospher,7
atom,1
atomis,1
atop,1
atp,3
att,1
atta,1
attach,5
attack,5
attempt,2
attend,14
attent,8
attic,1
attitud,3
attornei,59
attract,48
attractor,1
attribut,1
atv,4
au,3
auburn,3
auckland,1
auction,5
auctor,1
aud,3
audienc,5
audio,12
audiolog,2
audiologist,1
audiometri,1
audit,37
auditor,1
auditorium,2
augment,10
augustin,1
aunt,5
aunti,1
aurora,11
aussi,3
austel,1
austin,2
australia,19
australian,9
austria,3
authent,12
author,33
authoris,2
autism,6
auto,38
autoclav,2
autoimmun,1
autom,5
automat,5
automobil,4
automot,7
autonom,2
autumn,7
auxiliari,2
auxillari,1
av,21
avail,47
avalon,1
avanti,1
avatar,1
aventur,1
avenu,10
averag,2
avi,1
aviat,3
avid,3
avoid,10
avonmor,1
aw,1
await,14
awaken,2
awar,26
award,99
awesom,1
awhil,1
awn,5
axa,2
axi,2
ayrshir,1
ayurved,1
ayurveda,1
azalea,1
azar,1
aztec,1
azteca,1
azur,2
babar,4
babbler,1
babe,7
babi,10
babysitt,1
baccalaur,2
bachelor,2
backcountri,2
backer,1
backgammon,6
background,9
backhand,1
backho,1
backpack,8
backyard,1
bacteri,1
bad,11
badg,2
badger,1
badminton,14
bae,1
bag,24
bai,37
bail,1
bailei,3
bailer,1
bailiff,1
bait,2
baja,2
bake,3
baker,2
bakeri,1
bakersfield,1
bakewel,1
bal,1
balanc,9
balconi,3
bald,1
baldwin,2
bali,1
ball,19
ballad,1
ballet,2
balli,4
balloon,2
ballot,1
ballroom,1
balmor,1
baltic,1
baltimor,1
banana,2
band,7
bandag,3
bandon,1
bang,4
bangladesh,1
bangor,1
bank,82
banker,2
bankruptci,14
banner,10
banquet,4
baptist,1
bar,30
barbadian,1
barbara,3
barbarossa,1
barbecu,2
barber,1
barbi,1
barbu,1
barca,4
barcelona,9
bargain,5
bark,1
barker,1
barklei,1
barlow,1
barn,4
barnard,1
barnet,2
barnett,1
barnslei,1
barr,1
barrel,2
barri,3
barring,1
barrist,2
barrow,4
bartlett,1
barton,1
basal,1
base,92
basebal,12
basement,1
bash,4
basi,10
basic,24
basin,5
bask,1
basket,43
basketbal,18
bass,2
bassenthwait,2
bast,1
bastil,1
bat,4
bateman,1
batesvil,1
bath,14
bathroom,10
batman,2
batmen,1
batteri,6
battersea,1
battl,13
battlefield,1
battleground,2
bauer,1
baxter,3
bayern,2
bayonet,1
bb,1
bba,1
bbc,5
bbl,6
bc,4
beach,32
beachfront,5
beachi,1
beachsid,2
beacon,2
beal,2
beam,6
beamish,1
bear,25
beard,1
bearfoot,1
beast,2
beat,9
beaten,4
beau,1
beaumont,1
beauregard,1
beauti,77
beautifulli,6
beaver,8
becki,1
beckon,1
bed,66
bedford,1
bedfordshir,2
bedroom,19
beech,1
beef,1
beehiv,1
beek,1
beer,3
beetroot,1
beginn,21
begun,1
behavior,13
behaviour,9
belfast,2
belgian,1
belgium,3
belief,9
believ,4
beliz,1
belknap,1
bell,8
bella,1
belong,2
belov,1
belt,2
ben,4
bench,3
benchmark,2
bend,3
bender,1
beneficiari,2
benefit,66
benevento,1
benign,1
benjamin,1
bennett,2
benson,2
benton,1
ber,1
bere,2
bereav,2
berkshir,8
berlin,1
bernardo,4
bernhardt,1
berri,3
berth,2
bespok,27
bestsel,1
bet,15
beta,1
bethel,1
betray,1
betsi,1
bett,1
bettor,1
beulah,1
beverag,6
beverli,1
bewar,3
bge,1
bhatt,1
bhd,1
bia,1
bianca,1
bib,1
biblic,4
bicycl,13
bid,19
bidarka,1
bidder,1
bien,1
bigger,2
biggest,8
bike,31
biker,1
bilbo,1
bilingu,2
bill,16
billi,3
billiard,1
billionair,1
biloxi,1
biltmor,2
bimbo,1
bind,1
bingo,6
binocular,2
bio,5
biofeedback,1
biog,1
biograph,1
biographi,2
biologi,4
biomed,1
bioscienc,4
biotech,2
biotechnolog,5
bipolar,1
birch,1
bird,7
birmingham,18
birth,6
birthdai,3
birthmark,1
bisbe,1
biscuit,1
bisexu,5
bishop,1
bistro,3
bit,7
bitch,1
bite,10
biz,1
bizarr,1
bl,2
bla,1
black,41
blackberri,1
blackest,1
blackjack,4
blackman,1
blackpool,1
blackthorn,1
bladder,1
blade,6
blain,1
blais,1
blake,3
blanca,1
blank,6
blast,3
blaster,2
blaze,1
blazer,1
bleach,2
bleed,4
blemish,1
blend,5
blender,2
blenheim,1
blephar,1
blepharoplasti,3
bless,2
blick,1
blind,1
bliss,1
blister,1
blitz,1
blob,1
block,20
blond,7
blood,8
bloom,1
bloomington,1
bloomsburg,1
blossom,1
blous,1
blow,2
blowjob,7
blue,24
bluei,1
blueprint,2
bluff,6
blunder,1
blvd,9
bmi,1
boar,1
board,204
boardroom,1
boardwalk,2
boat,32
boaz,1
bob,5
bobbi,1
bobbl,2
boc,1
boca,2
bod,1
bodi,45
bodili,2
bodmin,3
bodybuild,1
bodyweight,1
bodywork,3
boggl,3
boi,12
boil,1
bok,1
bola,1
bolder,1
bolivia,1
boll,1
bologna,1
bolt,1
bolton,4
bomb,1
bombardi,1
bomber,1
bond,25
bondag,1
bone,10
bonita,2
bono,1
bonu,7
bonus,2
boobi,1
book,314
bookkeep,16
booklet,3
bookmak,1
bookmark,1
bookstor,1
boom,2
boomerang,1
boondock,1
boost,5
booster,3
boot,7
booth,3
booti,1
bootstrap,1
bordello,1
border,9
bore,1
boreali,2
borel,1
borg,1
borlas,1
born,7
borough,3
borrow,11
bosnia,1
boss,3
boston,2
bot,2
botan,2
bottl,6
bottom,2
bouchard,1
bought,1
bougi,1
boulder,1
boulevard,2
bounc,1
bound,3
boundari,4
bounti,2
bourn,1
bournemouth,6
bout,1
boutiqu,12
bow,4
bowel,1
bowl,11
bowler,1
bowman,1
bowmen,1
box,52
boyn,1
bp,1
bph,1
brace,26
bracket,1
bracknel,1
brad,1
bradford,1
bradi,1
bradlei,4
bradshaw,1
brae,2
brahman,1
brai,1
braill,4
brain,10
brainteas,1
braithwait,2
branch,28
brand,49
brandi,1
brandon,2
branson,1
brantlei,1
brasil,2
brass,1
brava,1
brave,5
braver,1
bravo,3
brawl,1
brazil,2
brc,1
brea,1
breach,2
break,38
breakdown,6
breaker,4
breakfast,60
breakthrough,2
breast,12
breastfeed,1
breath,8
breathtak,8
breez,2
brenda,1
brentford,2
brest,1
brett,1
brew,2
breweri,3
brewmast,1
brian,9
brianna,1
briberi,1
brick,2
bridal,2
bridg,53
bridgeport,1
bridgewat,1
brief,3
briefcas,2
brigad,1
brigg,1
brigham,1
bright,8
brighter,2
brightest,2
brightli,1
brighton,6
brillianc,2
brilliant,4
bring,38
brisban,5
bristol,28
britain,5
british,22
bro,2
broad,5
broadband,1
broadcast,3
broaddu,1
broadwai,3
brochur,23
broke,4
broken,3
broker,20
brokerag,4
brom,1
bronz,2
brood,1
brook,8
brooklyn,1
brookwood,2
brother,6
brought,2
brow,6
brown,13
brownel,1
brownnos,1
brows,33
browser,69
bruce,3
bruge,1
